index,cds,rtype,sname,dname,cname,enroll12,NumTstTakr,AvgScrRead,AvgScrMath,AvgScrWrit,NumGE1500,PctGE1500,year,frpm_simulado,profes_simulado,Tasa_Participacion,Puntaje_Global,Categoria_Rendimiento,Radio_Alumno_Profesor,Excepcion_Positiva,Es_Alta_Vulnerabilidad,porcentaje_eligibilidad_comidas_gratuitas,NumTeachers,Nivel_Vulnerabilidad
21,1611760000000,D,,FREMONT UNIFIED,ALAMEDA,2548,1483,587.0,627.0,595.0,1151.0,77.61,1516,0.5038021347993064,0,58.20251177394034,1809.0,Alto Rendimiento,26.54,0,0,0.3,96,Baja
22,1611760130062,S,AMERICAN HIGH,FREMONT UNIFIED,ALAMEDA,444,298,576.0,610.0,576.0,229.0,76.85,1516,0.2986373774747933,26,67.11711711711712,1762.0,Alto Rendimiento,3.73,0,0,0.49,119,Media
25,1611760134270,S,IRVINGTON HIGH,FREMONT UNIFIED,ALAMEDA,553,351,582.0,641.0,601.0,288.0,82.05,1516,0.3629695700716764,34,63.47197106690777,1824.0,Alto Rendimiento,5.64,0,0,0.3,98,Baja
26,1611760134452,S,JOHN F. KENNEDY HIGH,FREMONT UNIFIED,ALAMEDA,369,171,484.0,492.0,473.0,67.0,39.18,1516,0.5173295021425665,13,46.34146341463415,1449.0,Rendimiento Medio,3.1,0,0,0.25,119,Baja
28,1611760138693,S,WASHINGTON HIGH,FREMONT UNIFIED,ALAMEDA,425,203,540.0,564.0,531.0,130.0,64.04,1516,0.3538603981386293,23,47.76470588235294,1635.0,Alto Rendimiento,3.29,0,0,0.18,129,Baja
29,1611920000000,D,,HAYWARD UNIFIED,ALAMEDA,1490,617,440.0,448.0,437.0,143.0,23.18,1516,0.5152059876519595,0,41.40939597315436,1325.0,Bajo Rendimiento / Riesgo,35.48,0,0,0.41,42,Media
30,1611920108670,S,LEADERSHIP PUBLIC SCHOOLS - HAYWARD,HAYWARD UNIFIED,ALAMEDA,113,105,444.0,467.0,446.0,31.0,29.52,1516,0.5782970263056656,6,92.92035398230088,1357.0,Bajo Rendimiento / Riesgo,3.77,0,1,0.16,30,Baja
31,1611920113902,S,IMPACT ACADEMY OF ARTS & TECHNOLOGY,HAYWARD UNIFIED,ALAMEDA,108,103,437.0,437.0,430.0,18.0,17.48,1516,0.2476457024564292,6,95.37037037037037,1304.0,Bajo Rendimiento / Riesgo,3.09,0,0,0.54,35,Media
33,1611920133629,S,HAYWARD HIGH,HAYWARD UNIFIED,ALAMEDA,342,125,442.0,441.0,434.0,28.0,22.4,1516,0.4064532903055842,20,36.54970760233918,1317.0,Bajo Rendimiento / Riesgo,3.76,0,0,0.66,91,Media
34,1611920135319,S,MT. EDEN HIGH,HAYWARD UNIFIED,ALAMEDA,430,200,442.0,454.0,441.0,48.0,24.0,1516,0.4692489889519251,15,46.51162790697674,1337.0,Bajo Rendimiento / Riesgo,7.68,0,0,0.14,56,Baja
35,1611920138339,S,TENNYSON HIGH,HAYWARD UNIFIED,ALAMEDA,307,84,433.0,432.0,430.0,18.0,21.43,1516,0.6996231729751095,11,27.36156351791531,1295.0,Bajo Rendimiento / Riesgo,4.51,0,1,0.19,68,Baja
36,1612000000000,D,,LIVERMORE VALLEY JOINT UNIFIED,ALAMEDA,1076,513,544.0,551.0,540.0,344.0,67.06,1516,0.3693281110093285,0,47.67657992565056,1635.0,Alto Rendimiento,23.39,0,0,0.1,46,Baja
37,1612000120931,S,LIVERMORE VALLEY CHARTER PREPARATORY HIGH,LIVERMORE VALLEY JOINT UNIFIED,ALAMEDA,93,68,522.0,501.0,511.0,33.0,48.53,1516,0.2897716475108518,4,73.11827956989248,1534.0,Rendimiento Medio,0.73,0,0,0.47,128,Media
39,1612000133397,S,GRANADA HIGH,LIVERMORE VALLEY JOINT UNIFIED,ALAMEDA,473,239,545.0,561.0,544.0,163.0,68.2,1516,0.5646901982034297,18,50.52854122621564,1650.0,Alto Rendimiento,9.1,0,1,0.07,52,Baja
40,1612000134536,S,LIVERMORE HIGH,LIVERMORE VALLEY JOINT UNIFIED,ALAMEDA,405,204,551.0,555.0,545.0,147.0,72.06,1516,0.1825152889039984,21,50.37037037037037,1651.0,Alto Rendimiento,3.16,0,0,0.27,128,Baja
41,1612340000000,D,,NEWARK UNIFIED,ALAMEDA,517,193,486.0,492.0,476.0,81.0,41.97,1516,0.6028750291923554,0,37.33075435203095,1454.0,Rendimiento Medio,4.17,0,1,0.11,124,Baja
42,1612340130054,S,NEWARK MEMORIAL HIGH,NEWARK UNIFIED,ALAMEDA,444,193,486.0,492.0,476.0,81.0,41.97,1516,0.5752813963310068,24,43.46846846846847,1454.0,Rendimiento Medio,3.79,0,1,0.35,117,Media
44,1612420000000,D,,NEW HAVEN UNIFIED,ALAMEDA,1132,438,495.0,518.0,488.0,207.0,47.26,1516,0.7034299778711833,0,38.69257950530035,1501.0,Rendimiento Medio,12.44,0,1,0.43,91,Media
46,1612420134668,S,JAMES LOGAN HIGH,NEW HAVEN UNIFIED,ALAMEDA,920,438,495.0,518.0,488.0,207.0,47.26,1516,0.8142198760773333,57,47.60869565217392,1501.0,Rendimiento Medio,13.73,0,1,0.29,67,Baja
47,1612590000000,D,,OAKLAND UNIFIED,ALAMEDA,3020,1598,436.0,443.0,436.0,402.0,25.16,1516,0.4644566870909484,0,52.91390728476821,1315.0,Bajo Rendimiento / Riesgo,22.37,0,0,0.03,135,Baja
48,1612590100065,S,OAKLAND UNITY HIGH,OAKLAND UNIFIED,ALAMEDA,66,51,386.0,423.0,407.0,6.0,11.76,1516,0.8259424231521916,3,77.27272727272727,1216.0,Bajo Rendimiento / Riesgo,3.88,0,1,0.35,17,Media
49,1612590100701,S,METWEST HIGH,OAKLAND UNIFIED,ALAMEDA,41,36,399.0,388.0,386.0,4.0,11.11,1516,0.7158781436815228,1,87.8048780487805,1173.0,Bajo Rendimiento / Riesgo,0.6,0,1,0.03,68,Baja
50,1612590106906,S,BAY AREA TECHNOLOGY,OAKLAND UNIFIED,ALAMEDA,23,21,373.0,397.0,384.0,1.0,4.76,1516,0.3632296384213594,0,91.30434782608695,1154.0,Bajo Rendimiento / Riesgo,0.43,0,0,0.25,54,Baja
51,1612590108944,S,LIGHTHOUSE COMMUNITY CHARTER HIGH,OAKLAND UNIFIED,ALAMEDA,59,62,430.0,463.0,433.0,11.0,17.74,1516,0.2183704798044687,1,100.0,1326.0,Bajo Rendimiento / Riesgo,0.72,0,0,0.31,82,Baja
52,1612590110189,S,MCCLYMONDS HIGH,OAKLAND UNIFIED,ALAMEDA,57,37,380.0,359.0,360.0,2.0,5.41,1516,0.6289631185585098,2,64.91228070175438,1099.0,Bajo Rendimiento / Riesgo,0.45,0,1,0.1,128,Baja
53,1612590111856,S,AMERICAN INDIAN PUBLIC HIGH,OAKLAND UNIFIED,ALAMEDA,29,32,531.0,589.0,534.0,20.0,62.5,1516,0.4581067456177209,1,100.0,1654.0,Alto Rendimiento,0.2,0,0,0.16,144,Baja
54,1612590112797,S,COLISEUM COLLEGE PREP ACADEMY,OAKLAND UNIFIED,ALAMEDA,61,46,380.0,407.0,397.0,2.0,4.35,1516,0.2354267643913451,2,75.40983606557377,1184.0,Bajo Rendimiento / Riesgo,1.09,0,0,0.33,56,Baja
55,1612590114868,S,OAKLAND CHARTER HIGH,OAKLAND UNIFIED,ALAMEDA,66,64,474.0,551.0,488.0,35.0,54.69,1516,0.4966238370778891,3,96.96969696969695,1513.0,Rendimiento Medio,0.61,0,0,0.62,108,Media
56,1612590115238,S,ARISE HIGH,OAKLAND UNIFIED,ALAMEDA,53,47,378.0,379.0,394.0,2.0,4.26,1516,0.1740719647806528,2,88.67924528301887,1151.0,Bajo Rendimiento / Riesgo,0.46,0,0,0.6,115,Media
58,1612590115667,S,OAKLAND INTERNATIONAL HIGH,OAKLAND UNIFIED,ALAMEDA,82,29,310.0,329.0,328.0,0.0,0.0,1516,0.3311459871200118,3,35.36585365853659,967.0,Bajo Rendimiento / Riesgo,0.59,0,0,0.26,138,Baja
59,1612590118224,S,ASPIRE GOLDEN STATE COLLEGE PREPARATORY ACADEMY,OAKLAND UNIFIED,ALAMEDA,65,67,381.0,370.0,368.0,4.0,5.97,1516,0.6137655990477874,2,100.0,1119.0,Bajo Rendimiento / Riesgo,4.06,0,1,0.24,16,Baja
61,1612590125161,S,CASTLEMONT HIGH,OAKLAND UNIFIED,ALAMEDA,124,69,369.0,337.0,349.0,2.0,2.9,1516,0.5140476148244676,4,55.64516129032258,1055.0,Bajo Rendimiento / Riesgo,1.18,0,0,0.1,105,Baja
62,1612590125716,S,FREMONT HIGH,OAKLAND UNIFIED,ALAMEDA,134,68,366.0,351.0,363.0,1.0,1.47,1516,0.5326971955402957,5,50.74626865671642,1080.0,Bajo Rendimiento / Riesgo,1.84,0,0,0.12,73,Baja
63,1612590126748,S,LPS OAKLAND R & D CAMPUS,OAKLAND UNIFIED,ALAMEDA,81,75,362.0,371.0,381.0,5.0,6.67,1516,0.2793981188678689,2,92.5925925925926,1114.0,Bajo Rendimiento / Riesgo,0.72,0,0,0.26,112,Baja
65,1612590130575,S,LIFE ACADEMY,OAKLAND UNIFIED,ALAMEDA,73,48,391.0,406.0,403.0,3.0,6.25,1516,0.6925929763527802,3,65.75342465753424,1200.0,Bajo Rendimiento / Riesgo,2.43,0,1,0.5,30,Media
66,1612590130617,S,"OAKLAND MILITARY INSTITUTE, COLLEGE PREPARATORY AC",OAKLAND UNIFIED,ALAMEDA,68,59,417.0,441.0,420.0,13.0,22.03,1516,0.8076492590949323,3,86.76470588235294,1278.0,Bajo Rendimiento / Riesgo,2.27,0,1,0.29,30,Baja
67,1612590130666,S,ASPIRE LIONEL WILSON COLLEGE PREPARATORY ACADEMY,OAKLAND UNIFIED,ALAMEDA,137,62,412.0,428.0,432.0,9.0,14.52,1516,0.7763791452993541,9,45.25547445255474,1272.0,Bajo Rendimiento / Riesgo,1.12,0,1,0.16,122,Baja
68,1612590135905,S,OAKLAND HIGH,OAKLAND UNIFIED,ALAMEDA,322,165,421.0,432.0,412.0,22.0,13.33,1516,0.5685299851677595,12,51.24223602484472,1265.0,Bajo Rendimiento / Riesgo,8.7,0,1,0.15,37,Baja
69,1612590136051,S,OAKLAND TECHNICAL HIGH,OAKLAND UNIFIED,ALAMEDA,469,325,525.0,527.0,522.0,179.0,55.08,1516,0.7953119645161818,31,69.29637526652452,1574.0,Alto Rendimiento,8.38,0,1,0.2,56,Baja
70,1612590137943,S,SKYLINE HIGH,OAKLAND UNIFIED,ALAMEDA,349,150,432.0,443.0,431.0,32.0,21.33,1516,0.2119447514363436,16,42.97994269340974,1306.0,Bajo Rendimiento / Riesgo,6.84,0,0,0.14,51,Baja
71,1612593030772,S,OAKLAND SCHOOL FOR THE ARTS,OAKLAND UNIFIED,ALAMEDA,86,70,568.0,513.0,543.0,49.0,70.0,1516,0.2871880036934016,3,81.3953488372093,1624.0,Alto Rendimiento,1.0,0,0,0.1,86,Baja
73,1612750000000,D,,PIEDMONT CITY UNIFIED,ALAMEDA,208,121,633.0,635.0,642.0,111.0,91.74,1516,0.3147971350080683,0,58.17307692307693,1910.0,Alto Rendimiento,1.41,0,0,0.13,148,Baja
75,1612750136515,S,PIEDMONT HIGH,PIEDMONT CITY UNIFIED,ALAMEDA,178,111,641.0,646.0,652.0,104.0,93.69,1516,0.4220741027826373,9,62.35955056179775,1939.0,Alto Rendimiento,1.37,0,0,0.26,130,Baja
76,1612910000000,D,,SAN LEANDRO UNIFIED,ALAMEDA,699,310,460.0,454.0,459.0,91.0,29.35,1516,0.4855468161154246,0,44.34907010014306,1373.0,Bajo Rendimiento / Riesgo,34.95,0,0,0.08,20,Baja
78,1612910137588,S,SAN LEANDRO HIGH,SAN LEANDRO UNIFIED,ALAMEDA,619,309,461.0,455.0,460.0,91.0,29.45,1516,0.7301162564063505,26,49.919224555735056,1376.0,Bajo Rendimiento / Riesgo,13.46,0,1,0.05,46,Baja
79,1613090000000,D,,SAN LORENZO UNIFIED,ALAMEDA,975,475,468.0,479.0,459.0,171.0,36.0,1516,0.5326621743505605,0,48.71794871794872,1406.0,Rendimiento Medio,18.75,0,0,0.3,52,Baja
80,1613090111799,S,EAST BAY ARTS HIGH,SAN LORENZO UNIFIED,ALAMEDA,24,16,416.0,398.0,401.0,3.0,18.75,1516,0.3997273286855125,1,66.66666666666666,1215.0,Bajo Rendimiento / Riesgo,0.47,0,0,0.24,51,Baja
81,1613090114421,S,KIPP KING COLLEGIATE HIGH,SAN LORENZO UNIFIED,ALAMEDA,113,107,478.0,471.0,469.0,36.0,33.64,1516,0.3466541567811665,5,94.69026548672566,1418.0,Rendimiento Medio,1.51,0,0,0.46,75,Media
82,1613090130849,S,ARROYO HIGH,SAN LORENZO UNIFIED,ALAMEDA,445,225,485.0,507.0,477.0,104.0,46.22,1516,0.5298872582107739,18,50.56179775280899,1469.0,Rendimiento Medio,4.89,0,0,0.56,91,Media
83,1613090137810,S,SAN LORENZO HIGH,SAN LORENZO UNIFIED,ALAMEDA,300,127,436.0,448.0,424.0,28.0,22.05,1516,0.2486469574823338,13,42.333333333333336,1308.0,Bajo Rendimiento / Riesgo,2.13,0,0,0.14,141,Baja
84,1750930000000,D,,DUBLIN UNIFIED,ALAMEDA,523,313,545.0,573.0,541.0,216.0,69.01,1516,0.4521784876921587,0,59.84703632887189,1659.0,Alto Rendimiento,5.23,0,0,0.35,100,Media
85,1750930132704,S,DUBLIN HIGH,DUBLIN UNIFIED,ALAMEDA,489,313,545.0,573.0,541.0,216.0,69.01,1516,0.7115378865278278,17,64.0081799591002,1659.0,Alto Rendimiento,23.29,0,1,0.08,21,Baja
86,1751010000000,D,,PLEASANTON UNIFIED,ALAMEDA,1203,825,593.0,620.0,592.0,695.0,84.24,1516,0.520475118464583,0,68.5785536159601,1805.0,Alto Rendimiento,12.15,0,0,0.12,99,Baja
87,1751010130096,S,FOOTHILL HIGH,PLEASANTON UNIFIED,ALAMEDA,487,349,574.0,593.0,570.0,269.0,77.08,1516,0.2021854505758395,16,71.66324435318275,1737.0,Alto Rendimiento,24.35,0,0,0.28,20,Baja
88,1751010130583,S,AMADOR VALLEY HIGH,PLEASANTON UNIFIED,ALAMEDA,638,476,607.0,639.0,608.0,426.0,89.5,1516,0.8408208556203621,35,74.60815047021944,1854.0,Alto Rendimiento,37.53,0,1,0.32,17,Baja
89,3000000000000,C,,,AMADOR,326,88,534.0,525.0,510.0,58.0,65.91,1516,0.0,0,26.993865030674847,1569.0,Alto Rendimiento,5.34,0,0,0.1,61,Baja
91,3739810000000,D,,AMADOR COUNTY UNIFIED,AMADOR,308,88,534.0,525.0,510.0,58.0,65.91,1516,0.3544281270973124,0,28.57142857142857,1569.0,Alto Rendimiento,3.11,0,0,0.44,99,Media
93,3739810330753,S,AMADOR HIGH,AMADOR COUNTY UNIFIED,AMADOR,140,51,535.0,529.0,519.0,35.0,68.63,1516,0.2891009770739207,6,36.42857142857142,1583.0,Alto Rendimiento,1.3,0,0,0.52,108,Media
94,3739810334755,S,ARGONAUT HIGH,AMADOR COUNTY UNIFIED,AMADOR,112,37,532.0,518.0,498.0,23.0,62.16,1516,0.1538654819865216,5,33.035714285714285,1548.0,Alto Rendimiento,3.03,0,0,0.25,37,Baja
95,4000000000000,C,,,BUTTE,2445,694,508.0,522.0,490.0,375.0,54.03,1516,0.0,0,28.384458077709613,1520.0,Rendimiento Medio,143.82,0,0,0.1,17,Baja
96,4100410000000,D,,BUTTE COUNTY OFFICE OF EDUCATION,BUTTE,119,20,532.0,500.0,495.0,11.0,55.0,1516,0.761842146330571,0,16.80672268907563,1527.0,Rendimiento Medio,0.83,0,1,0.05,143,Baja
97,4100410114991,S,CORE BUTTE CHARTER,BUTTE COUNTY OFFICE OF EDUCATION,BUTTE,73,20,532.0,500.0,495.0,11.0,55.0,1516,0.7208229999183839,2,27.3972602739726,1527.0,Rendimiento Medio,0.9,0,1,0.82,81,Alta
99,4614080000000,D,,BIGGS UNIFIED,BUTTE,42,16,453.0,464.0,422.0,4.0,25.0,1516,0.5890455718958395,0,38.095238095238095,1339.0,Bajo Rendimiento / Riesgo,0.49,0,1,0.06,85,Baja
100,4614080430827,S,BIGGS HIGH,BIGGS UNIFIED,BUTTE,38,16,453.0,464.0,422.0,4.0,25.0,1516,0.6603050176286911,2,42.10526315789473,1339.0,Bajo Rendimiento / Riesgo,0.26,0,1,0.05,145,Baja
101,4614240000000,D,,CHICO UNIFIED,BUTTE,1094,402,529.0,542.0,511.0,256.0,63.68,1516,0.5528354534226764,0,36.74588665447898,1582.0,Alto Rendimiento,13.51,0,0,0.22,81,Baja
102,4614240120394,S,INSPIRE SCHOOL OF ARTS AND SCIENCES,CHICO UNIFIED,BUTTE,95,44,569.0,535.0,552.0,32.0,72.73,1516,0.689889242680162,5,46.31578947368421,1656.0,Alto Rendimiento,1.38,0,1,0.18,69,Baja
104,4614240431676,S,CHICO HIGH,CHICO UNIFIED,BUTTE,402,189,527.0,548.0,507.0,121.0,64.02,1516,0.4009260099809908,26,47.01492537313433,1582.0,Alto Rendimiento,2.75,0,0,0.2,146,Baja
105,4614240437558,S,PLEASANT VALLEY HIGH,CHICO UNIFIED,BUTTE,445,169,521.0,538.0,504.0,103.0,60.95,1516,0.2311083416675907,16,37.97752808988764,1563.0,Alto Rendimiento,9.89,0,0,0.16,45,Baja
106,4614320000000,D,,DURHAM UNIFIED,BUTTE,68,33,507.0,505.0,490.0,17.0,51.52,1516,0.5702042230936025,0,48.52941176470589,1502.0,Rendimiento Medio,0.85,0,1,0.66,80,Media
107,4614320433201,S,DURHAM HIGH,DURHAM UNIFIED,BUTTE,68,33,507.0,505.0,490.0,17.0,51.52,1516,0.7541723981129155,2,48.52941176470589,1502.0,Rendimiento Medio,0.59,0,1,0.65,115,Media
110,4615150000000,D,,OROVILLE UNION HIGH,BUTTE,543,114,451.0,468.0,438.0,33.0,28.95,1516,0.3819048760634457,0,20.994475138121548,1357.0,Bajo Rendimiento / Riesgo,6.96,0,0,0.43,78,Media
111,4615150434803,S,LAS PLUMAS HIGH,OROVILLE UNION HIGH,BUTTE,222,43,485.0,482.0,460.0,15.0,34.88,1516,0.3816286173968544,14,19.36936936936937,1427.0,Rendimiento Medio,4.93,0,0,0.44,45,Media
112,4615150435602,S,OROVILLE HIGH,OROVILLE UNION HIGH,BUTTE,239,71,430.0,460.0,425.0,18.0,25.35,1516,0.1944908452002165,8,29.707112970711297,1315.0,Bajo Rendimiento / Riesgo,1.82,0,0,0.38,131,Media
113,4615310000000,D,,PARADISE UNIFIED,BUTTE,369,60,520.0,528.0,491.0,36.0,60.0,1516,0.4134597934575919,0,16.260162601626014,1539.0,Alto Rendimiento,4.61,0,0,0.16,80,Baja
115,4615310437350,S,PARADISE SENIOR HIGH,PARADISE UNIFIED,BUTTE,260,59,523.0,530.0,493.0,36.0,61.02,1516,0.3776283254187229,10,22.692307692307693,1546.0,Alto Rendimiento,4.26,0,0,0.14,61,Baja
117,4755070000000,D,,GRIDLEY UNIFIED,BUTTE,180,49,469.0,508.0,461.0,18.0,36.73,1516,0.5500219073377864,0,27.22222222222222,1438.0,Rendimiento Medio,5.0,0,0,0.32,36,Baja
118,4755070433953,S,GRIDLEY HIGH,GRIDLEY UNIFIED,BUTTE,160,49,469.0,508.0,461.0,18.0,36.73,1516,0.5962902299486491,8,30.625000000000004,1438.0,Rendimiento Medio,1.48,0,1,0.09,108,Baja
119,5000000000000,C,,,CALAVERAS,498,130,512.0,515.0,499.0,70.0,53.85,1516,0.0,0,26.10441767068273,1526.0,Rendimiento Medio,5.13,0,0,0.32,97,Baja
122,5615560000000,D,,BRET HARTE UNION HIGH,CALAVERAS,174,52,522.0,529.0,521.0,29.0,55.77,1516,0.5321572476010853,0,29.88505747126437,1572.0,Alto Rendimiento,2.9,0,0,0.37,60,Media
123,5615560532507,S,BRET HARTE UNION HIGH,BRET HARTE UNION HIGH,CALAVERAS,152,52,522.0,529.0,521.0,29.0,55.77,1516,0.4805504476133645,5,34.21052631578947,1572.0,Alto Rendimiento,1.48,0,0,0.08,103,Baja
124,5615640000000,D,,CALAVERAS UNIFIED,CALAVERAS,258,72,495.0,503.0,478.0,36.0,50.0,1516,0.4847967790836447,0,27.906976744186046,1476.0,Rendimiento Medio,1.94,0,0,0.17,133,Baja
125,5615640531509,S,CALAVERAS HIGH,CALAVERAS UNIFIED,CALAVERAS,236,72,495.0,503.0,478.0,36.0,50.0,1516,0.2337159721568111,9,30.508474576271187,1476.0,Rendimiento Medio,3.93,0,0,0.25,60,Baja
126,6000000000000,C,,,COLUSA,356,109,454.0,461.0,451.0,29.0,26.61,1516,0.0,0,30.61797752808989,1366.0,Bajo Rendimiento / Riesgo,23.73,0,0,0.13,15,Baja
127,6615980000000,D,,COLUSA UNIFIED,COLUSA,110,32,454.0,461.0,438.0,8.0,25.0,1516,0.3888189926012251,0,29.09090909090909,1353.0,Bajo Rendimiento / Riesgo,1.0,0,0,0.07,110,Baja
129,6615980631259,S,COLUSA HIGH,COLUSA UNIFIED,COLUSA,80,32,454.0,461.0,438.0,8.0,25.0,1516,0.6825495340318282,4,40.0,1353.0,Bajo Rendimiento / Riesgo,1.07,0,1,0.13,75,Baja
132,6616140000000,D,,PIERCE JOINT UNIFIED,COLUSA,122,37,474.0,491.0,471.0,15.0,40.54,1516,0.5800712349610025,0,30.327868852459016,1436.0,Rendimiento Medio,1.03,0,1,0.72,119,Alta
133,6616140635250,S,PIERCE HIGH,PIERCE JOINT UNIFIED,COLUSA,113,37,474.0,491.0,471.0,15.0,40.54,1516,0.6896770259681927,7,32.743362831858406,1436.0,Rendimiento Medio,1.19,0,1,0.16,95,Baja
134,6616220000000,D,,WILLIAMS UNIFIED,COLUSA,92,27,419.0,416.0,418.0,1.0,3.7,1516,0.4809248768314143,0,29.347826086956523,1253.0,Bajo Rendimiento / Riesgo,3.29,0,0,0.63,28,Media
135,6616220637504,S,WILLIAMS JUNIOR/SENIOR HIGH,WILLIAMS UNIFIED,COLUSA,85,27,419.0,416.0,418.0,1.0,3.7,1516,0.4956569174550734,4,31.76470588235294,1253.0,Bajo Rendimiento / Riesgo,1.44,0,0,0.33,59,Baja
136,7000000000000,C,,,CONTRA COSTA,13472,6865,504.0,512.0,499.0,3565.0,51.93,1516,0.0,0,50.95754156769596,1515.0,Rendimiento Medio,148.04,0,0,0.45,91,Media
137,7100740000000,D,,CONTRA COSTA COUNTY OFFICE OF EDUCATION,CONTRA COSTA,631,337,496.0,499.0,492.0,166.0,49.26,1516,0.4362621015497508,0,53.40729001584786,1487.0,Rendimiento Medio,7.89,0,0,0.23,80,Baja
138,7100740114470,S,MAKING WAVES ACADEMY,CONTRA COSTA COUNTY OFFICE OF EDUCATION,CONTRA COSTA,72,71,450.0,474.0,459.0,25.0,35.21,1516,0.5159129805673958,3,98.61111111111111,1383.0,Bajo Rendimiento / Riesgo,1.57,0,0,0.47,46,Media
