index,cds,rtype,sname,dname,cname,enroll12,NumTstTakr,AvgScrRead,AvgScrMath,AvgScrWrit,NumGE1500,PctGE1500,year,frpm_simulado,profes_simulado,Tasa_Participacion,Puntaje_Global,Categoria_Rendimiento,Radio_Alumno_Profesor,Excepcion_Positiva,Es_Alta_Vulnerabilidad,Categoria_Visual
59,1612590118224,S,ASPIRE GOLDEN STATE COLLEGE PREPARATORY ACADEMY,OAKLAND UNIFIED,ALAMEDA,65,67,381.0,370.0,368.0,4.0,5.97,1516,0.6137655990477874,2,100.0,1119.0,Bajo Rendimiento / Riesgo,32.5,0,1,
61,1612590125161,S,CASTLEMONT HIGH,OAKLAND UNIFIED,ALAMEDA,124,69,369.0,337.0,349.0,2.0,2.9,1516,0.5140476148244676,4,55.64516129032258,1055.0,Bajo Rendimiento / Riesgo,31.0,0,0,
62,1612590125716,S,FREMONT HIGH,OAKLAND UNIFIED,ALAMEDA,134,68,366.0,351.0,363.0,1.0,1.47,1516,0.5326971955402957,5,50.74626865671642,1080.0,Bajo Rendimiento / Riesgo,26.8,0,0,
63,1612590126748,S,LPS OAKLAND R & D CAMPUS,OAKLAND UNIFIED,ALAMEDA,81,75,362.0,371.0,381.0,5.0,6.67,1516,0.2793981188678689,2,92.5925925925926,1114.0,Bajo Rendimiento / Riesgo,40.5,0,0,
65,1612590130575,S,LIFE ACADEMY,OAKLAND UNIFIED,ALAMEDA,73,48,391.0,406.0,403.0,3.0,6.25,1516,0.6925929763527802,3,65.75342465753424,1200.0,Bajo Rendimiento / Riesgo,24.333333333333332,0,1,
66,1612590130617,S,"OAKLAND MILITARY INSTITUTE, COLLEGE PREPARATORY AC",OAKLAND UNIFIED,ALAMEDA,68,59,417.0,441.0,420.0,13.0,22.03,1516,0.8076492590949323,3,86.76470588235294,1278.0,Bajo Rendimiento / Riesgo,22.666666666666668,0,1,
67,1612590130666,S,ASPIRE LIONEL WILSON COLLEGE PREPARATORY ACADEMY,OAKLAND UNIFIED,ALAMEDA,137,62,412.0,428.0,432.0,9.0,14.52,1516,0.7763791452993541,9,45.25547445255474,1272.0,Bajo Rendimiento / Riesgo,15.222222222222221,0,1,
68,1612590135905,S,OAKLAND HIGH,OAKLAND UNIFIED,ALAMEDA,322,165,421.0,432.0,412.0,22.0,13.33,1516,0.5685299851677595,12,51.24223602484472,1265.0,Bajo Rendimiento / Riesgo,26.833333333333332,0,1,
69,1612590136051,S,OAKLAND TECHNICAL HIGH,OAKLAND UNIFIED,ALAMEDA,469,325,525.0,527.0,522.0,179.0,55.08,1516,0.7953119645161818,31,69.29637526652452,1574.0,Alto Rendimiento,15.129032258064516,0,1,
70,1612590137943,S,SKYLINE HIGH,OAKLAND UNIFIED,ALAMEDA,349,150,432.0,443.0,431.0,32.0,21.33,1516,0.21194475143634364,16,42.97994269340974,1306.0,Bajo Rendimiento / Riesgo,21.8125,0,0,
71,1612593030772,S,OAKLAND SCHOOL FOR THE ARTS,OAKLAND UNIFIED,ALAMEDA,86,70,568.0,513.0,543.0,49.0,70.0,1516,0.2871880036934016,3,81.3953488372093,1624.0,Alto Rendimiento,28.666666666666668,0,0,
73,1612750000000,D,,PIEDMONT CITY UNIFIED,ALAMEDA,208,121,633.0,635.0,642.0,111.0,91.74,1516,0.3147971350080683,0,58.17307692307693,1910.0,Alto Rendimiento,22.6031746031746,0,0,Distritos
75,1612750136515,S,PIEDMONT HIGH,PIEDMONT CITY UNIFIED,ALAMEDA,178,111,641.0,646.0,652.0,104.0,93.69,1516,0.42207410278263735,9,62.35955056179775,1939.0,Alto Rendimiento,19.77777777777778,0,0,
76,1612910000000,D,,SAN LEANDRO UNIFIED,ALAMEDA,699,310,460.0,454.0,459.0,91.0,29.35,1516,0.48554681611542466,0,44.34907010014306,1373.0,Bajo Rendimiento / Riesgo,18.00093808630394,0,0,Distritos
78,1612910137588,S,SAN LEANDRO HIGH,SAN LEANDRO UNIFIED,ALAMEDA,619,309,461.0,455.0,460.0,91.0,29.45,1516,0.7301162564063505,26,49.919224555735056,1376.0,Bajo Rendimiento / Riesgo,23.807692307692307,0,1,
79,1613090000000,D,,SAN LORENZO UNIFIED,ALAMEDA,975,475,468.0,479.0,459.0,171.0,36.0,1516,0.5326621743505605,0,48.717948717948715,1406.0,Rendimiento Medio,21.558355820424786,0,0,Distritos
80,1613090111799,S,EAST BAY ARTS HIGH,SAN LORENZO UNIFIED,ALAMEDA,24,16,416.0,398.0,401.0,3.0,18.75,1516,0.3997273286855125,1,66.66666666666666,1215.0,Bajo Rendimiento / Riesgo,24.0,0,0,
81,1613090114421,S,KIPP KING COLLEGIATE HIGH,SAN LORENZO UNIFIED,ALAMEDA,113,107,478.0,471.0,469.0,36.0,33.64,1516,0.3466541567811665,5,94.69026548672566,1418.0,Rendimiento Medio,22.6,0,0,
82,1613090130849,S,ARROYO HIGH,SAN LORENZO UNIFIED,ALAMEDA,445,225,485.0,507.0,477.0,104.0,46.22,1516,0.5298872582107739,18,50.56179775280899,1469.0,Rendimiento Medio,24.72222222222222,0,0,
83,1613090137810,S,SAN LORENZO HIGH,SAN LORENZO UNIFIED,ALAMEDA,300,127,436.0,448.0,424.0,28.0,22.05,1516,0.24864695748233384,13,42.333333333333336,1308.0,Bajo Rendimiento / Riesgo,23.076923076923077,0,0,
84,1750930000000,D,,DUBLIN UNIFIED,ALAMEDA,523,313,545.0,573.0,541.0,216.0,69.01,1516,0.4521784876921587,0,59.847036328871894,1659.0,Alto Rendimiento,23.260932662538703,0,0,Distritos
85,1750930132704,S,DUBLIN HIGH,DUBLIN UNIFIED,ALAMEDA,489,313,545.0,573.0,541.0,216.0,69.01,1516,0.7115378865278278,17,64.0081799591002,1659.0,Alto Rendimiento,28.764705882352942,0,1,
86,1751010000000,D,,PLEASANTON UNIFIED,ALAMEDA,1203,825,593.0,620.0,592.0,695.0,84.24,1516,0.5158250614179213,0,68.5785536159601,1805.0,Alto Rendimiento,24.1278912242728,0,0,Distritos
87,1751010130096,S,FOOTHILL HIGH,PLEASANTON UNIFIED,ALAMEDA,487,349,574.0,593.0,570.0,269.0,77.08,1516,0.20218545057583956,16,71.66324435318275,1737.0,Alto Rendimiento,30.4375,0,0,
88,1751010130583,S,AMADOR VALLEY HIGH,PLEASANTON UNIFIED,ALAMEDA,638,476,607.0,639.0,608.0,426.0,89.5,1516,0.8408208556203621,35,74.60815047021944,1854.0,Alto Rendimiento,18.228571428571428,0,1,
89,3000000000000,C,,,AMADOR,326,88,534.0,525.0,510.0,58.0,65.91,1516,0.0,0,26.993865030674847,1569.0,Alto Rendimiento,,0,0,
91,3739810000000,D,,AMADOR COUNTY UNIFIED,AMADOR,308,88,534.0,525.0,510.0,58.0,65.91,1516,0.3544281270973124,0,28.57142857142857,1569.0,Alto Rendimiento,21.688888888888886,0,0,Distritos
93,3739810330753,S,AMADOR HIGH,AMADOR COUNTY UNIFIED,AMADOR,140,51,535.0,529.0,519.0,35.0,68.63,1516,0.2891009770739207,6,36.42857142857142,1583.0,Alto Rendimiento,23.333333333333332,0,0,
94,3739810334755,S,ARGONAUT HIGH,AMADOR COUNTY UNIFIED,AMADOR,112,37,532.0,518.0,498.0,23.0,62.16,1516,0.15386548198652167,5,33.035714285714285,1548.0,Alto Rendimiento,22.4,0,0,
95,4000000000000,C,,,BUTTE,2445,694,508.0,522.0,490.0,375.0,54.03,1516,0.0,0,28.384458077709613,1520.0,Rendimiento Medio,,0,0,
96,4100410000000,D,,BUTTE COUNTY OFFICE OF EDUCATION,BUTTE,119,20,532.0,500.0,495.0,11.0,55.0,1516,0.761842146330571,0,16.80672268907563,1527.0,Rendimiento Medio,30.416666666666668,0,1,Distritos
97,4100410114991,S,CORE BUTTE CHARTER,BUTTE COUNTY OFFICE OF EDUCATION,BUTTE,73,20,532.0,500.0,495.0,11.0,55.0,1516,0.7208229999183839,2,27.397260273972602,1527.0,Rendimiento Medio,36.5,0,1,
99,4614080000000,D,,BIGGS UNIFIED,BUTTE,42,16,453.0,464.0,422.0,4.0,25.0,1516,0.5890455718958395,0,38.095238095238095,1339.0,Bajo Rendimiento / Riesgo,31.666666666666668,0,1,Distritos
100,4614080430827,S,BIGGS HIGH,BIGGS UNIFIED,BUTTE,38,16,453.0,464.0,422.0,4.0,25.0,1516,0.6603050176286911,2,42.10526315789473,1339.0,Bajo Rendimiento / Riesgo,19.0,0,1,
101,4614240000000,D,,CHICO UNIFIED,BUTTE,1094,402,529.0,542.0,511.0,256.0,63.68,1516,0.5528354534226764,0,36.74588665447898,1582.0,Alto Rendimiento,22.009502215891104,0,0,Distritos
102,4614240120394,S,INSPIRE SCHOOL OF ARTS AND SCIENCES,CHICO UNIFIED,BUTTE,95,44,569.0,535.0,552.0,32.0,72.73,1516,0.689889242680162,5,46.31578947368421,1656.0,Alto Rendimiento,19.0,0,1,
104,4614240431676,S,CHICO HIGH,CHICO UNIFIED,BUTTE,402,189,527.0,548.0,507.0,121.0,64.02,1516,0.4009260099809908,26,47.01492537313433,1582.0,Alto Rendimiento,15.461538461538462,0,0,
105,4614240437558,S,PLEASANT VALLEY HIGH,CHICO UNIFIED,BUTTE,445,169,521.0,538.0,504.0,103.0,60.95,1516,0.23110834166759078,16,37.97752808988764,1563.0,Alto Rendimiento,27.8125,0,0,
106,4614320000000,D,,DURHAM UNIFIED,BUTTE,68,33,507.0,505.0,490.0,17.0,51.52,1516,0.5702042230936025,0,48.529411764705884,1502.0,Rendimiento Medio,22.666666666666668,0,1,Distritos
107,4614320433201,S,DURHAM HIGH,DURHAM UNIFIED,BUTTE,68,33,507.0,505.0,490.0,17.0,51.52,1516,0.7541723981129155,2,48.529411764705884,1502.0,Rendimiento Medio,34.0,0,1,
110,4615150000000,D,,OROVILLE UNION HIGH,BUTTE,543,114,451.0,468.0,438.0,33.0,28.95,1516,0.38190487606344575,0,20.994475138121548,1357.0,Bajo Rendimiento / Riesgo,26.56607142857143,0,0,Distritos
111,4615150434803,S,LAS PLUMAS HIGH,OROVILLE UNION HIGH,BUTTE,222,43,485.0,482.0,460.0,15.0,34.88,1516,0.3816286173968544,14,19.36936936936937,1427.0,Rendimiento Medio,15.857142857142858,0,0,
112,4615150435602,S,OROVILLE HIGH,OROVILLE UNION HIGH,BUTTE,239,71,430.0,460.0,425.0,18.0,25.35,1516,0.19449084520021653,8,29.707112970711297,1315.0,Bajo Rendimiento / Riesgo,29.875,0,0,
113,4615310000000,D,,PARADISE UNIFIED,BUTTE,369,60,520.0,528.0,491.0,36.0,60.0,1516,0.41345979345759193,0,16.260162601626014,1539.0,Alto Rendimiento,28.166666666666668,0,0,Distritos
115,4615310437350,S,PARADISE SENIOR HIGH,PARADISE UNIFIED,BUTTE,260,59,523.0,530.0,493.0,36.0,61.02,1516,0.37762832541872293,10,22.692307692307693,1546.0,Alto Rendimiento,26.0,0,0,
117,4755070000000,D,,GRIDLEY UNIFIED,BUTTE,180,49,469.0,508.0,461.0,18.0,36.73,1516,0.5500219073377864,0,27.22222222222222,1438.0,Rendimiento Medio,26.222222222222225,0,0,Distritos
118,4755070433953,S,GRIDLEY HIGH,GRIDLEY UNIFIED,BUTTE,160,49,469.0,508.0,461.0,18.0,36.73,1516,0.5962902299486491,8,30.625000000000004,1438.0,Rendimiento Medio,20.0,0,1,
119,5000000000000,C,,,CALAVERAS,498,130,512.0,515.0,499.0,70.0,53.85,1516,0.0,0,26.104417670682732,1526.0,Rendimiento Medio,,0,0,
122,5615560000000,D,,BRET HARTE UNION HIGH,CALAVERAS,174,52,522.0,529.0,521.0,29.0,55.77,1516,0.5321572476010853,0,29.88505747126437,1572.0,Alto Rendimiento,30.399999999999995,0,0,Distritos
123,5615560532507,S,BRET HARTE UNION HIGH,BRET HARTE UNION HIGH,CALAVERAS,152,52,522.0,529.0,521.0,29.0,55.77,1516,0.4805504476133645,5,34.21052631578947,1572.0,Alto Rendimiento,30.4,0,0,
124,5615640000000,D,,CALAVERAS UNIFIED,CALAVERAS,258,72,495.0,503.0,478.0,36.0,50.0,1516,0.48479677908364477,0,27.906976744186046,1476.0,Rendimiento Medio,26.222222222222218,0,0,Distritos
125,5615640531509,S,CALAVERAS HIGH,CALAVERAS UNIFIED,CALAVERAS,236,72,495.0,503.0,478.0,36.0,50.0,1516,0.23371597215681117,9,30.508474576271187,1476.0,Rendimiento Medio,26.22222222222222,0,0,
126,6000000000000,C,,,COLUSA,356,109,454.0,461.0,451.0,29.0,26.61,1516,0.0,0,30.61797752808989,1366.0,Bajo Rendimiento / Riesgo,,0,0,
127,6615980000000,D,,COLUSA UNIFIED,COLUSA,110,32,454.0,461.0,438.0,8.0,25.0,1516,0.38881899260122516,0,29.09090909090909,1353.0,Bajo Rendimiento / Riesgo,20.88888888888889,0,0,Distritos
129,6615980631259,S,COLUSA HIGH,COLUSA UNIFIED,COLUSA,80,32,454.0,461.0,438.0,8.0,25.0,1516,0.6825495340318282,4,40.0,1353.0,Bajo Rendimiento / Riesgo,20.0,0,1,
132,6616140000000,D,,PIERCE JOINT UNIFIED,COLUSA,122,37,474.0,491.0,471.0,15.0,40.54,1516,0.5800712349610025,0,30.327868852459016,1436.0,Rendimiento Medio,24.21428571428571,0,1,Distritos
133,6616140635250,S,PIERCE HIGH,PIERCE JOINT UNIFIED,COLUSA,113,37,474.0,491.0,471.0,15.0,40.54,1516,0.6896770259681927,7,32.743362831858406,1436.0,Rendimiento Medio,16.142857142857142,0,1,
134,6616220000000,D,,WILLIAMS UNIFIED,COLUSA,92,27,419.0,416.0,418.0,1.0,3.7,1516,0.4809248768314143,0,29.347826086956523,1253.0,Bajo Rendimiento / Riesgo,23.61111111111111,0,0,Distritos
135,6616220637504,S,WILLIAMS JUNIOR/SENIOR HIGH,WILLIAMS UNIFIED,COLUSA,85,27,419.0,416.0,418.0,1.0,3.7,1516,0.49565691745507345,4,31.76470588235294,1253.0,Bajo Rendimiento / Riesgo,21.25,0,0,
136,7000000000000,C,,,CONTRA COSTA,13472,6865,504.0,512.0,499.0,3565.0,51.93,1516,0.0,0,50.95754156769596,1515.0,Rendimiento Medio,,0,0,
137,7100740000000,D,,CONTRA COSTA COUNTY OFFICE OF EDUCATION,CONTRA COSTA,631,337,496.0,499.0,492.0,166.0,49.26,1516,0.4362621015497508,0,53.40729001584786,1487.0,Rendimiento Medio,23.839781746031747,0,0,Distritos
138,7100740114470,S,MAKING WAVES ACADEMY,CONTRA COSTA COUNTY OFFICE OF EDUCATION,CONTRA COSTA,72,71,450.0,474.0,459.0,25.0,35.21,1516,0.5159129805673958,3,98.61111111111111,1383.0,Bajo Rendimiento / Riesgo,24.0,0,0,
139,7100740731380,S,CLAYTON VALLEY CHARTER HIGH,CONTRA COSTA COUNTY OFFICE OF EDUCATION,CONTRA COSTA,465,266,508.0,505.0,501.0,141.0,53.01,1516,0.44927871285098475,18,57.204301075268816,1514.0,Rendimiento Medio,25.833333333333332,0,0,
140,7616300000000,D,,ACALANES UNION HIGH,CONTRA COSTA,1319,928,590.0,598.0,590.0,782.0,84.27,1516,0.5359817016461726,0,70.35633055344958,1778.0,Alto Rendimiento,23.844524225774226,0,0,Distritos
142,7616300730283,S,ACALANES HIGH,ACALANES UNION HIGH,CONTRA COSTA,347,231,584.0,602.0,587.0,198.0,85.71,1516,0.2255239988953131,13,66.57060518731988,1773.0,Alto Rendimiento,26.692307692307693,0,0,
143,7616300731125,S,CAMPOLINDO HIGH,ACALANES UNION HIGH,CONTRA COSTA,303,248,602.0,607.0,611.0,223.0,89.92,1516,0.17200042998071396,10,81.84818481848185,1820.0,Alto Rendimiento,30.3,0,0,
144,7616300733725,S,LAS LOMAS HIGH,ACALANES UNION HIGH,CONTRA COSTA,359,233,575.0,577.0,553.0,180.0,77.25,1516,0.5954872878846462,11,64.9025069637883,1705.0,Alto Rendimiento,32.63636363636363,0,1,
